,ZIPCODE,Total Annual Payroll,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Whites Alone,Non Whites
164,11366,82354,13593.0,41.0,75729.0,31767.0,1337.0,9.835944971676598,7239.0,6354
165,11367,129752,39424.0,34.9,52199.0,26844.0,6439.0,16.332690746753247,22448.0,16976
166,11368,512243,104486.0,31.4,46325.0,16393.0,23263.0,22.264226786363725,47230.0,57256
167,11369,178016,40160.0,33.6,55553.0,20178.0,6652.0,16.56374501992032,10532.0,29628
168,11370,281407,37755.0,33.8,52489.0,18414.0,4802.0,12.718845186068071,13460.0,24295
169,11371,0,0.0,,,,0.0,,0.0,0
170,11372,268160,62857.0,38.3,47750.0,24184.0,11902.0,18.935043034188713,36348.0,26509
171,11373,611814,97430.0,35.8,44964.0,20304.0,19899.0,20.423894077799446,38684.0,58746
172,11374,386394,42484.0,39.6,54868.0,34243.0,5124.0,12.061011204218058,27273.0,15211
173,11375,803634,69745.0,42.0,72538.0,44476.0,5226.0,7.493010251630941,44959.0,24786
174,11377,627777,87284.0,35.8,49528.0,24113.0,11781.0,13.497319096283396,40806.0,46478
175,11378,787583,32187.0,39.4,58317.0,27121.0,3184.0,9.892192500077671,26084.0,6103
176,11379,151373,35680.0,43.5,67516.0,31720.0,2765.0,7.749439461883408,30881.0,4799
177,11385,568852,99508.0,34.2,51258.0,22904.0,17454.0,17.540298267475983,81254.0,18254
178,11411,37730,19357.0,43.4,81390.0,31339.0,1137.0,5.873844087410239,717.0,18640
179,11412,41697,36660.0,38.9,71292.0,25941.0,3060.0,8.346972176759412,803.0,35857
180,11413,193675,39291.0,39.8,77739.0,28294.0,2857.0,7.271385304522664,1343.0,37948
181,11414,88793,28769.0,45.2,65295.0,33500.0,2566.0,8.919322882269109,24781.0,3988
182,11415,130915,19464.0,37.3,60287.0,34053.0,2174.0,11.169338265515824,11899.0,7565
183,11416,359625,24977.0,33.1,55225.0,20015.0,3660.0,14.65348120270649,6817.0,18160
184,11417,99429,30325.0,35.3,61284.0,23395.0,4226.0,13.935696619950535,12217.0,18108
185,11418,577857,36821.0,34.9,58965.0,22214.0,4502.0,12.226718448711333,14686.0,22135
186,11419,89867,48119.0,36.2,53815.0,18815.0,7502.0,15.59051518111349,6101.0,42018
187,11420,121257,48226.0,36.1,60603.0,22890.0,5744.0,11.910587649815453,8522.0,39704
188,11421,57808,41872.0,33.6,57091.0,22023.0,6099.0,14.565819640810087,15883.0,25989
189,11422,83691,33116.0,34.9,85151.0,28272.0,2238.0,6.758062567942988,2250.0,30866
190,11423,105244,31425.0,39.7,61948.0,26511.0,3716.0,11.824980111376293,5424.0,26001
191,11424,1099,0.0,,,,0.0,,0.0,0
192,11425,136,0.0,,,,0.0,,0.0,0
193,11426,60520,18847.0,39.5,78415.0,30543.0,1042.0,5.528731363081658,8898.0,9949
194,11427,0,24601.0,40.1,70438.0,29416.0,2429.0,9.873582374700215,7420.0,17181
195,11428,63214,19784.0,39.5,69758.0,25195.0,1497.0,7.566720582288718,4742.0,15042
196,11429,88456,28571.0,38.5,70478.0,23132.0,3749.0,13.121696825452382,1911.0,26660
197,11430,1487092,101.0,43.9,,8896.0,80.0,79.20792079207921,15.0,86
198,11432,544359,58705.0,37.1,50130.0,23458.0,10749.0,18.310195043011667,11900.0,46805
199,11433,183199,30851.0,32.9,43419.0,19414.0,7256.0,23.519496936890214,1106.0,29745
200,11434,461016,61853.0,35.9,57393.0,23773.0,7708.0,12.461804601231954,1714.0,60139
201,11435,257002,52288.0,35.9,53914.0,24009.0,8356.0,15.980722154222766,11061.0,41227
202,11436,27226,17316.0,36.7,60820.0,23297.0,2409.0,13.911988911988912,442.0,16874
203,11451,1351,0.0,,,,0.0,,0.0,0
204,11691,332139,61442.0,30.8,38631.0,18715.0,16094.0,26.19380879528661,22348.0,39094
205,11692,50989,16870.0,36.2,39817.0,20270.0,4121.0,24.427978660343804,3231.0,13639
206,11693,35819,11415.0,38.9,50006.0,24229.0,2219.0,19.43933420937363,6035.0,5380
207,11694,77181,21281.0,44.7,73893.0,37718.0,1378.0,6.4752596212584,18110.0,3171
208,11697,0,4344.0,49.1,86731.0,39793.0,44.0,1.0128913443830572,4304.0,40
